,Text,Annotate
904,PNRI chief insists Bataan Nuclear Power Plant safe for use,
905,US paralegal admits role in smuggling Quiboloy’s church workers – US justice department,
906,Philippines grants emergency use of Pfizer COVID-19 pill,
907,Gordon takes jab at senators for refusing to sign draft report on Pharmally probe,
908,"MANILA, Philippines – President Ferdinand Marcos Jr. is set to visit Tokyo for an “official working visit” from February 8 to 12, 2023.",
909,"After the onslaught of Typhoon Karding in parts of Luzon, President Ferdinand Marcos Jr. on Monday, September 26, leads a briefing with the National Disaster Risk Reduction and Management Council (NDRRMC) for updates on affected areas.",
910,Marcos: We should’ve done better in Maguindanao,
911,Majority of Filipinos unhappy with Marcos gov’t strategy vs inflation – Pulse Asia,
912,"#WalangPasok: Class suspensions, Thursday, January 19, 2023",
913,"MANILA, Philippines – Around 42% of Filipinos disapproved of the Marcos administration’s performance in reining in inflation, according to the results of a Pulse Asia Research, Incorporated survey held in September and released on Thursday, October 6.",
914,Areas under state of calamity due to Severe Tropical Storm Paeng,
915,Marcos: Ex-PNP chief Cascolan in DOH for ‘administrative audit’,
916,"MANILA, Philippines – Ngayong pababa na si Pangulong Rodrigo Duterte sa Malacañang, kinausap namin ang aming mga reporter tungkol sa kanilang karanasan sa pagsunod sa kaniyang administrasyon.",
917,Marcos will be agriculture secretary ‘at least for now’,
918,NBI files murder complaints vs 22 NCRPO officers for alleged COVID-19 deaths in Bilibid,
919,Criminalizing ‘fake news’: Why it won’t work,
920,"MANILA, Philippines – Filipino senators concurred with the Philippines’ ratification of the United Nations Arms Trade Treaty (ATT), amid President Rodrigo Duterte’s tougher and bloodier crackdown  rebels, activists, and civilians critical of his abusive policies.",
921,"MANILA, Philippines – The Department of Education (DepEd) on Thursday, September 1, urged alleged victims of sexual abuse at Bacoor National High School (BNHS) in Cavite to file their affidavits ",
922,"MANILA, Philippines – A trial court cleared former Philippine Charity Sweepstakes Office board (PCSO) member Sandra Cam of murder, in connection with the killing of Batuan, Masbate vice mayor Charlie Yuson III in 2019.",
923,"MANILA, Philippines – As universities wrapped up the semester, students nationwide marked their calendars for a momentary exit from their academic responsibilities in time for the 2021 Christmas holidays.",
924,Duterte signs law on inclusive education for students with disabilities,
925,"MANILA, Philippines – Various groups and institutions are preparing for the 36th anniversary of the EDSA People Power Revolution on Friday, February 25.",
926,House passes bill seeking to beef up protection of freelance workers,
927,"MANILA, Philippines – In a recent 12-page resolution, the anti-graft court Sandiganbayan diluted what appeared to be a huge P200-billion win for the Marcoses in 2019, and clarified that the first family recovered only four properties: three in Ilocos Norte and one in Manila.",
928,Vic Rodriguez resigns as executive secretary,
929,"Rappler Recap: BuCor releases over 300 inmates from Bilibid, other prisons",
930,"MANILA, Philippines – Veteran journalist Roy Mabasa, younger brother of slain broadcaster Percival “Percy Lapid” Mabasa, is the new host of “Lapid Fire,” Lapid’s last radio program before he was killed in October.",
931,"MANILA, Philippines – The Supreme Court has junked the disqualification and cancellation of certificate of candidacy (COC) cases against president-elect Ferdinand “Bongbong” Marcos Jr. The two cases were consolidated.",
932,"MANILA, Philippines – Broadcaster Ramon “Mon” Tulfo has been arrested by the police over a cyber  Tulfo confirmed this with Rappler.",
933,What to expect: US Vice President Harris’ visit to PH,
934,China to US: Stop meddling in West PH Sea issue,
935,Anti-graft court formally dismisses case vs Mike Arroyo over chopper deal,
936,Metro Manila back to ‘moderate risk’ for COVID-19 – DOH,
937,"NPC clears Comelec, Smartmatic of data privacy violation over breach in 2022",
938,"MANILA, Philippines – Outgoing President Rodrigo Duterte is accorded departure honors at Malacañang Palace on his last day in office, Thursday, June 30.",
939,"MANILA, Philippines – Department of Justice (DOJ) Secretary Boying Remulla said it was not easy to shift from manual to digital in processing the country’s prisoner records.",
940,Outraged Duterte unaware of US rejoining Paris climate pact,
941,"MANILA, Philippines – Following the uncoordinated, unannounced visits of police to several journalists in a bid to secure them, anxiety was felt across the media sector and its advocates.",
942,"MANILA, Philippines – The international council of Couples for Christ (CFC), a religious group under the Catholic Church, endorsed opposition leader and presidential candidate Vice President Leni Robredo for president.",
943,Comelec moves COC filing for barangay polls to end-August after senator’s plea,
944,"MANILA, Philippines – Senators approved the bill setting a permanent validity for certificates of live birth, death, and marriage issued or duly certified by the Philippine Statistics Authority (PSA), local civil registries, and reports from Philippine foreign service posts.",
945,Philippine military welcomes first batch of T-129 ATAK choppers,
946,"MANILA, Philippines –  After President Ferdinand Marcos Jr. delivered his first State of the Nation Address (SONA) on Monday, July 25, Filipinos online took to social media to sound off various views on the President’s speech.",
947,Duterte to skip US-ASEAN summit,
948,"Governors, mayors set to learn all about hazards in disaster-prone Philippines",
949,"MANILA, Philippines – Both the Senate and the House of Representatives started hearing bills on making the Reserve Officer Training Corps (ROTC) a priority legislative agenda of the Marcos administration.",
950,"Despite return of cash, properties, General Garcia’s family not yet off the hook",
951,"MANILA, Philippines – On the 36th anniversary of the EDSA People Power Revolution, Church group Simbahang Lingkod ng Bayan holds a forum to provide context about the peaceful uprising against Ferdinand Marcos that ended on February 25, 1986.",
952,"MANILA, Philippines – The Sandiganbayan’s Fifth Division dismissed a civil case against the late tyrant Ferdinand E. Marcos and others in relation to the alleged ill-gotten wealth of the dictator’s family.",
953,"MANILA, Philippines – After surviving a hostage-taking at the Camp Crame Custodial Center, former senator Leila de Lima will be given the option to transfer to a different detention facility, President Ferdinand Marcos Jr announced on Sunday morning, October 9.",
954,"MANILA, Philippines –  The mothers of disappeared students Karen Empeño and Sherlyn Cadapan filed  with the National  Commission seeking to suspend or revoke the principal license and impose a cease and desist order against the Apollo Quiboloy-owned SMNI, after the network aired an interview  aimed at “vindicating” the convicted military general Jovito Palparan.",
955,LIST: Philippine holidays for 2023,
956,"MANILA, Philippines – The Philippines on Tuesday said it had filed a diplomatic protest with China for unilaterally declaring a South China Sea fishing ban,  also of harassment and violations of its jurisdiction by Beijing’s coast guard.",
957,"#WalangPasok: Class suspensions, Friday, October 28, 2022",
958,Rappler Talk: What Omicron BA.5 means for PH’s pandemic response,
959,"MANILA, Philippines – Are you among the many Filipinos who want to move to another country?",
960,De Lima camp opposes prosecution’s move to reopen case as judgment nears,
961,"Approach to China? Let’s try everything, says Marcos",
962,Duterte picks Abdullah Mamao to lead new Department of Migrant Workers,
963,"MANILA, Philippines – The progressive Makabayan bloc said on Saturday, January 29, that they decided to endorse the tandem of Vice President Leni Robredo and Senator Francis “Kiko” Pagilinan because they shared  stand on issues and had the “best chance” of defeating dictator’s son Ferdinand “Bongbong” Marcos Jr. and running mate Davao City Mayor Sara Duterte.",
964,"MANILA, Philippines – As more reports of atrocities by Russian soldiers in war-torn Ukraine made international headlines, Philippine President Rodrigo Duterte called on Russian President Vladimir Putin to exert more effort in sparing civilians from his military’s attacks.",
965,"MANILA, Philippines – The Department of Foreign Affairs’ (DFA) courtesy lanes in all consular offices nationwide will reopen for walk-ins beginning Wednesday, March 16, owing to increased demand for the service.",
966,"Philippine court acquits Nobel laureate Maria Ressa, Rappler of tax evasion",
967,"MANILA, Philippines – In battling bigger political names for the country’s top post, labor leader and aspiring president Leody de Guzman chose to officially launch his campaign in a historic site dedicated to the heroes and martyrs of Martial Law.",
968,Commission on Appointments confirms Centino as AFP chief,
969,Son of ex-transport chief Tugade is Marcos’ acting MIAA manager,
970,"At least 8 dead, 3 injured in floods triggered by shear line",
971,UPCAT is back,
972,‘The Golden Onion Era’: Netizens slam Customs over PAL crew onions issue,
973,"LIVE UPDATES: Opening of Senate, House sessions for the 19th Congress",
974,"MANILA, Philippines – Merceditas Gutierrez, the Ombudsman during the Arroyo administration who was impeached by the House in 2011, was appointed acting member of the Board of Trustees of the Government Service Insurance System (GSIS).",
975,"MANILA, Philippines – Until he took his last breath, Communist Party of the Philippines (CPP) founder Professor Jose Maria “Joma” Sison was thinking of how the revolution would win.",
976,"PNP files trafficking raps against Abra mayor, vice mayor",
977,China urges Philippines to ‘eliminate interference’ in ties,
978,LIVESTREAM: Marcos holds press briefing on Luzon earthquake,
979,"MANILA, Philippines – Senator Imee Marcos on Wednesday, April 18, questioned the government’s decision to grant the United States access to more military bases in northern Luzon under the Philippines-US Enhanced Defense Cooperation Agreement (EDCA).",
980,"MANILA, Philippines – President Ferdinand Marcos Jr. is “willing to spend his political capital” on a long-running proposal to stop the continued increase in military and uniformed personnel’s pension and make active duty military and unformed personnel contribute to a pension system, said Finance Secretary Benjamin Diokno.",
981,PNP prevents US lawmakers from visiting De Lima in Camp Crame,
982,"In New Year message, Marcos calls for unity, solidarity",
983,"MANILA, Philippines (1st UPDATE) – The Commission on Elections (Comelec) relieved poll body veteran James Jimenez as spokesman, in the wake of the controversy surrounding the cancellation of the last two debates, into which his name was dragged.",
984,In The Public Square with John Nery: Does the Liberal Party have a future?,
985,"MANILA, Philippines – Rural doctor Natividad “Naty” Castro was already freed last March on kidnapping charges related to an accusation that she was  leader, but the Department of Justice (DOJ) moved and managed to convince the court to reinstate the case and order a rearrest.",
986,COA orders PS-DBM to return P3 billion in bank account to national treasury,
987,A string of controversies hounds suspended BuCor chief Bantag,
988,"MANILA, Philippines – The Office of the Vice President (OVP) and the Department of Education (DepEd) hold a joint press briefing on Wednesday, July 27.",
989,"‘Ako si LenLen’: Workers share stories of sweat, labor after Marcos insult",
990,Supreme Court junks cases vs Marcos’ presidential candidacy,
991,"DOCUMENT: Requirements for passengers arriving in the Philippines, as of May 30, 2022",
992,Duterte appoints chief of presidential protocol to lead Climate Change Commission,
993,"MANILA, Philippines – The Philippines recently  five Rohingya refugees who arrived in the country under a government program that will allow them to enroll in local schools for higher studies.",
994,Vice President Robredo’s Last Days in Office: A Diary,
995,"Arroyo-era NIA chief gets 6 years for graft, told to pay P98.55 million",
996,"MANILA, Philippines – Forty years after the United Nations Convention on the Law of the Sea (UNCLOS) was adopted, the Department of Foreign Affairs (DFA) retraced its history and celebrated the landmark convention for its role in setting the maritime entitlements of coastal states, including archipelagic states such as the Philippines.",
997,"Five out of six leading candidates for the presidency came together virtually on Friday, February 4, for the Kapisanan ng mga Brodkaster ng Pilipinas-hosted Panata sa Bayan: The KBP Presidential Candidates Forum.",
998,Gov’t designates as terrorist a community doctor who helped Lumad of Mindanao,
999,"MANILA, Philippines – In just two hours, the  on appropriations on Wednesday, September 14, terminated its deliberations of the proposed 2023 budget of Department of Education (DepEd).",
1000,"MANILA, Philippines – Justice Secretary Jesus Crispin “Boying” Remulla said there will be no sacred cows in his department’s drug war review, but was defensive when asked categorically if the probe will include former president Rodrigo Duterte.",
1001,"MANILA, Philippines – The camp of Laban ng Masa chairperson Walden Bello has urged Justice Secretary Crispin Remulla to “exercise independence” in relation to the former vice presidential candidate’s cyber libel case.",
1002,Manlilikha ng Bayan Ambalang Ausalin dies,
1003,"MANILA, Philippines – In new photographs released by the Marcos family showing president-in-waiting Ferdinand “Bongbong” Marcos Jr. visiting his mother former first lady Imelda Marcos, they flaunt paintings including a Picasso that was supposedly already seized by the government in 2014.",
1004,SC upholds dismissal of graft complaint vs ex-Marcos officials,
1005,[PODCAST] Law of Duterte Land: Is Marcos Jr. liable for P203 billion estate tax?,
1006,"SAMAR, Philippines – The retired general of the Samar-based Army division allegedly responsible for the deaths of Communist Party of the Philippines (CPP) leaders Benito and Wilma Tiamzon described the rebels’ claim that they had been captured on land, tortured, and then killed as “propaganda” and “drama.”",
1007,[PODCAST] Law of Duterte Land: Duterte’s war on dissent,
1008,SC dismisses petition with stricter take on lawmakers’ term limits,
1009,Veteran election lawyer George Garcia named Comelec chairman,
1010,Lawmaker wants 10 individuals to face House probe into agri smuggling,
1011,‘Important step’ for press freedom: Countries praise Rappler tax evasion acquittal,
1012,"Up until last day of campaigning, Duterte does not endorse Marcos for president",
1013,"MANILA, Philippines – In a Royal Audience with Japanese Emperor Naruhito and Empress Masako, President Ferdinand Marcos Jr. extended an invitation for the royal couple to visit the Philippines.",
1014,"MANILA, Philippines – The first night of the wake of former president Fidel V. Ramos reunited the men and women who served his Cabinet in the 1990s, all with nothing but kind words for the boss who they said dedicated his life to genuine public service.",
1015,"Marcos’ first 100 days: Critics see ‘sinking ship,’ allies say ‘good job’",
1016,Marcos appoints NTC OIC Ella Blanca Lopez as full-time commissioner,
1017,"MANILA, Philippines – Alex, not his real name, is a veteran journalist based in Metro Manila. After the killing of broadcaster Percy Lapid, he said the police started to look for him – not because he was involved in the case, but because the cops said they wanted to secure him.",
1018,"MANILA, Philippines – The Philippine government, represented by Solicitor General Menardo Guevarra, has asked the International Criminal Court (ICC) to suspend its decision to resume its probe into the drug war killings in the Philippines under former president Rodrigo Duterte.",
1019,LOOK: PH Fleet welcomes Nichols Driz as new commander,
1020,CPP founder Joma Sison dies,
1021,Wearing masks now voluntary throughout the Philippines,
1022,"36 Years: After 2022 polls, crucial for Filipinos to develop ‘sense of history’",
1023,"MANILA, Philippines – President Ferdinand Marcos Jr. is keen on visiting earthquake-hit Abra province as soon as it is determined to be safe for him to fly, Press Secretary Trixie Cruz-Angeles said in a briefing on Wednesday, July 27.",
1024,"MANILA, Philippines – Store fallen heritage debris somewhere safe and protect artifacts and art from aftershocks.",
1025,Presidential bets support the creation of Cordillera Autonomous Region,
1026,"In education report, Sara Duterte puts a spotlight on teachers’ welfare",
1027,New CHR chair named in crucial tail end of Duterte gov’t,
1028,Marcos flies to Singapore to watch F1 race,
1029,"MANILA, Philippines – The Senate gave its final approval to the bill providing  for residents who lost properties and were displaced by the months-long war in Marawi City,",
1030,"MANILA, Philippines – Three public schools in the Philippines have been shortlisted in specific categories in the World’s Best School Prize, which was launched in 2022 by T4 Education (T4), a global education organization in partnership with Yayasan Hasanah, Templeton World Charity Foundation, Accenture, and American Express.",
1031,"6 years in detention, De Lima in high spirits: ‘Vindication is forthcoming’",
1032,"MANILA, Philippines – Educators from the Ateneo Professional Schools expressed their support for presidential candidate and opposition leader Vice President Leni Robredo and running mate Senator Kiko Pangilinan.",
1033,Former top cop takes on health: Who is Camilo Cascolan?,
1034,"MANILA, Philippines – What role does literature play in Philippine democracy?",
1035,Marcos to visit Japan in February,
1036,Reporter’s Review: Lian Buan on the justice system under Duterte,
1037,"MANILA, Philippines – President Rodrigo Duterte tested negative for COVID-19, Acting Presidential Spokesperson Karlo Nograles said on Tuesday, February 8 – over a week after his exposure to a household staff member who had tested positive.",
1038,"MANILA, Philippines – President Ferdinand Marcos Jr. appointed as undersecretary of the Department of Environment and Natural Resources (DENR) a geologist whose family’s personal and professional history is marked by resistance to the dictatorship of the first Marcos president.",
1039,"After 8 months, CPP confirms death of party leaders, the Tiamzons",
1040,Serial red-tagger Lorraine Badoy attacks Angat Buhay,
1041,LIVESTREAM: Day 2 of House inquiry into onions crisis,
1042,President Duterte’s Last Days in Office: A Diary,
1043,"MANILA, Philippines – Vice President and Education Secretary Sara Duterte on Tuesday, October 25, denied the alleged “rebranding” of Martial Law or historical revisionism in favor of the late dictator Ferdinand Marcos at the Department of Education (DepEd).",
1044,"MANILA, Philippines – The first day of school at Colegio de San Lorenzo turned into a nightmare for students after CDSL suddenly announced its permanent closure due to “financial instability” and the “low turnout of enrollees” for school year 2022-2023.",
1045,"MANILA, Philippines – On the 159th birth anniversary of the father of the Philippine Revolution, President Ferdinand Marcos, Jr. called on Filipinos to be “dutiful and law-abiding citizens” who work for a “bright and freer future” for everyone.",
1046,"The Philippines remains at low risk for COVID-19, enough for the government to allow a voluntary mask policy in outdoor settings.",
1047,UN rights chief hopes for ‘rapid progress’ in PH drug war accountability,
1048,Authorities recover bodies of passengers of crashed Cessna plane in Albay,
1049,Religious group: Terror financing charge ‘part of worsening state repression’ vs rights defenders,
1050,"From Manila to New Jersey, the privilege and infamy of the Marcos name",
1051,"[LIVESTREAM] Easter Vigil 2022 with Bishop Ambo David, CBCP president",
1052,Sandiganbayan: Sajid Ampatuan’s conviction on 130 cases final and executory,
1053,De Lima camp will push again for bail to seek temporary release,
1054,"MANILA, Philippines – Former president Rodrigo Duterte, through his former spokesperson Harry Roque, said he will not allow “foreigners” to judge him after the International Criminal Court (ICC) announced it is resuming the probe into the drug war killings.",
1055,"MANILA, Philippines – Philippine President-elect Ferdinand Marcos Jr. vowed to uphold the country’s landmark arbitral award that validated its rights in the West Philippine Sea, marking a shift in his position on the 2016 Hague ruling that he earlier appeared ready to cast aside.",
1056,Enough to govern? Second Marcos president puts his ‘faith in the Filipino’,
1057,‘Lapid Fire’ returns: Roy Mabasa takes over as host of Percy Lapid’s show,
1058,36 Years: The SOGIE equality bill in the 19th Congress,
1059,"MANILA, Philippines – On the 36th anniversary of the EDSA People Power Revolution, Christian churches urged voters to reject “any candidate” who may plunge the Philippines into a situation similar to the Martial Law years   under the late dictator Ferdinand Marcos, known as a dark chapter in the country’s history.",
1060,"MANILA, Philippines – While President Ferdinand Marcos Jr. enjoys high approval and trust ratings, a majority of Filipinos are unhappy with his administration’s strategy in controlling inflation, according to the results of a Pulse Asia, Research Incorporated survey held in March.",
1061,"MANILA, Philippines – In a unanimous decision, the University of the Philippines (UP) Board of Regents (BOR) on Friday, December 9, named former regent and lawyer Angelo Jimenez as the new president of the country’s premier state university.",
1062,"MANILA, Philippines – A number of current and former government officials known for public interest advocacies  the Court of Tax Appeals’ (CTA) ruling that cleared Nobel Peace Prize laureate Maria Ressa and Rappler Holdings Corporation (RHC) of tax evasion charges that hounded her and  since 2018.",
1063,"MANILA, Philippines – In President Ferdinand Marcos Jr.’s own words, his January 2023 visit to Davos in Switzerland for the World Economic Forum (WEF) won’t be too different from his previous trips abroad. This time though, he intends to sell to foreign investors and fellow world leaders the controversial sovereign wealth fund his administration is pushing.",
1064,"Army expects court martial vs Durante, 6 other soldiers after Plaza slay",
1065,Philippines hunts for 26 still missing after weekend weather disaster,
1066,"MANILA, Philippines – Suspended lawmaker Arnulfo “Arnie” Teves, Negros Oriental 3rd District representative, on Thursday, April 20, denied speaking to Marvin Miranda, the alleged “co-mastermind” in the assassination of former governor Roel Degamo.",
1067,"MANILA, Philippines – United States President Joe Biden invited President Ferdinand Marcos Jr. to Washington, further cementing Marcos’ immunity in the US despite a $353-million contempt judgment by a US court.",
1068,"MANILA, Philippines – President Ferdinand Marcos Jr. on Monday, January 23, defended his frequent travels, telling a panel of television journalists and presenters to “look at [the expenses] as ROI (return on investment).”",
1069,"MANILA, Philippines – After serving five months as the acting Bureau of Corrections chief, retired general Gregorio Capatang Jr finally received his official appointment from  President Ferdinand Marcos Jr. on Thursday, March 23",
1070,LIVESTREAM: Risa Hontiveros holds briefing on cases of child abuse in social media,
1071,‘Not welcome’: Activist groups respond to Kamala Harris’ visit through protest,
1072,Red-tagged Anakpawis Partylist nominee arrested in Nueva Vizcaya,
1073,"MANILA, Philippines – Makalipas ang higit sa dalawang taon mula nang gawing mandatory ang pagsusuot ng face masks kapag nasa labas, ginawa na itong opsyonal ni Pangulong Ferdinand Marcos Jr.",
1074,Duterte tests negative for COVID-19,
1075,"MANILA, Philippines – Most Filipinos – 89% – are satisfied with the way democracy currently exists in the Philippines, according to the Social Weather Stations 2022 annual review.",
1076,"MANILA, Philippines – Following recent tensions in the West Philippine Sea, Chinese Ambassador to the Philippines Huang Xilian met with Armed Forces of the Philippines (AFP) Chief of Staff General Andres Centino to discuss “peace and stability” in the region.",
1077,COP27 a test for Marcos administration to walk the talk on climate change,
1078,"WASHINGTON DC, USA – Philippines President Ferdinand Marcos Jr said on Thursday that granting US access to Philippine military bases was a defensive step that would be “useful” if China attacked Taiwan.",
1079,"MANILA, Philippines – Members of the European Parliament visited the Philippines as part of efforts to cooperate on human rights and reforms in the country’s justice sector.",
1080,"MANILA, Philippines – At least five current officials of the Department of Health (DOH) are facing  for criminal and administrative offenses in relation to the alleged mismanagement of funds for cancer medicines.",
1081,"MANILA, Philippines – Veteran election lawyer George Garcia is poised to return to the Commission on Elections (Comelec), now as its chairman, after President Ferdinand Marcos Jr. appointed him to the poll body.",
1082,Rappler Talk: Quest for justice for broadcaster Percy Lapid,
1083,"MANILA, Philippines – As the Senate wrapped up its second hearing on the sugar importation mess on Tuesday, August 30, Deputy Minority Leader Risa Hontiveros said that “powerful forces” seemed to be “at play” in Malacañang’s decision to reject the plan to import 300,000 metric tons of sugar.",
1084,PNP Drug Enforcement Group chief sacked amid ‘link’ in P6.7-B shabu mess,
1085,"MANILA, Philippines – The Commission on Audit (COA) has ordered the Technological University of the Philippines (TUP) to pay six years’ worth of hazard pay to eight of its health staff amounting to almost P3 million.",
1086,Rappler Talk: Czar Matthew Gerard Dayday on topping the 2022 Bar Exams,
1087,"MANILA, Philippines – The United Nations (UN) special rapporteur on freedom of opinion and expression Irene Khan slammed the Philippine Court of Appeal’s decision to uphold Rappler CEO Maria Ressa’s 2020 conviction for cyber libel, saying it’s proof of how criminalizing libel can be weaponized against a vigilant press.",
1088,Marcos: Politics after exile was for ‘our own survival’,
1089,"MANILA, Philippines – Environmental damage caused by the oil spill from the sunken MT Princess Empress could reach P7 billion, the country’s environment chief said on Thursday, April 27.",
1090,"MANILA, Philippines – The Senate on Tuesday, November 15, approved the proposed 2023 budget of P252.6 billion for the interior department and its attached agencies, but not before Senate Minority Leader Aquilino “Koko” Pimentel III emphasized the need to evaluate the performance of the controversial National Task Force to End Local Communist Armed Conflict (NTF-ELCAC).",
1091,Editor’s Note: An earlier version of this story erroneously reported it was Gabriela Representative Arlene Brosas who asked the Vice President. All references to Brosas in this story have been corrected.,
1092,"Palace reporter, MPC raise alarm over reporter denied accreditation",
1093,"WASHINGTON, DC, USA – The top defense and diplomatic officials from the United States and Philippines agreed on Tuesday, April 11,  a road map  months to cover the delivery of US defense assistance to the Philippines over the next five to 10 years.",
1094,"MANILA, Philippines – US President Joe Biden announced Sunday, June 26, that Second Gentleman Douglas Emhoff would head the American presidential delegation attending the inauguration of president-elect Ferdinand “Bongbong” Marcos Jr.",
1095,"MANILA, Philippines – Seeking to usher in a “new normal,” government coronavirus task force officials directed local government units to ensure that at least 80% of senior citizens and 70% of the general population in  had been fully vaccinated against COVID-19, citing the metrics among thresholds that need to be met to deescalate an area to Alert Level 1.",
1096,"MANILA, Philippines – The Philippines’ new defense chief Carlito Galvez Jr. and new military chief General Andres Centino are holding a press conference on Thursday, January 12, following the Armed Forces of the  conference at Camp Aguinaldo.",
1097,Luistro elected first Filipino leader of La Sallian Brothers worldwide,
1098,Court acquits Remulla’s son in less than 3 months. Does it always happen?,
1099,"MANILA, Philippines – Two Filipinos are among the 24 regional winners of the 2023 World Press Photo Contest of the World Press Photo Foundation.",
1100,WATCH: ES Bersamin defends ‘matinee idol’ Marcos: Singapore trip ‘not immodest’,
1101,"For 1 week straight, PH COVID-19 cases dip below 5,000",
1102,"MANILA, Philippines – In late March, following a meeting in Malacañang, Finance Secretary Benjamin Diokno announced the Marcos administration’s proposal to reform the country’s military pension system.",
1103,"MANILA, Philippines – The Bureau of Corrections on Friday, November 25, said it buried 60 bodies of persons deprived of liberty (PDL) who died inside the New Bilibid Prison.",
1104,36 Years: The Ramos legacy,
1105,"MANILA, Philippines – Hours after a Senate inquiry heard the country’s maritime regulator say that the sunken oil tanker, MT Princess Empress, had no permit, the Philippine Coast Guard (PCG), which was also represented in the hearing, posted documents online seeking to discredit the Maritime Industry Authority (MARINA) chief’s statements.",
1106,"MANILA, Philippines – In his first press briefing since he assumed office, President Ferdinand Marcos Jr. said on Tuesday, July 5, that he would “reinstitute” COVID-19 vaccination to fight Omicron offshoots that have been causing a surge in infections in the country.",
1107,"Three incidents involving activists in less than 24 hours, including the terrorist-tagging  doctor Naty Castro, tell Cristina Palabay of Karapatan that the second Marcos administration is already showing its true colors – and it’s more of the same old Duterte hue.",
1108,ICC chamber junks PH’s petition to suspend resumption of drug war probe,
1109,"MANILA, Philippines – On the day Metro Manila and most of the country transitioned into a “new normal” under the COVID-19 pandemic, the Department of Health (DOH) announced it will stop its daily reports of new coronavirus cases.",
1110,"MANILA, Philippines – Outgoing Vice President Leni Robredo is planning to replicate her free telemedicine platform Bayanihan E-Konsulta to serve various localities across the country even beyond the coronavirus pandemic.",
1111,"MANILA, Philippines – Beginning April 1, the Philippines will allow the entry of fully vaccinated foreigners to its borders even without an exemption document, Malacañang said on Friday, March 25.",
1112,Experts question gov’t vaccination thresholds for Alert Level 1,
1113,"MANILA, Philippines – Groups and institutions from the public and private sectors mourned the passing of former Philippine foreign secretary Albert del Rosario, who died on Tuesday, April 18. He was 83.",
1114,"MANILA, Philippines – Despite the potential return of the Marcoses to Malacañang, Martial Law victims who suffered the most under the tyrannical rule of the dictator remain hopeful.",
1115,"Millions of Filipinos are expected to flock to cemeteries to visit their dead loved ones during All Saints’ Day, November 1, and also on All Souls’ Day, November 2, for an observance known in the Philippines as Undas.",
1116,"To honor the heroism of the rescuers who died when Typhoon Karding ravaged Luzon, Bulacan provincial government on Friday, September 30, held a tribute ceremony at the capitol’s gymnasium.",
1117,"MANILA, Philippines – The United States on Monday, October 17, expressed concern over recent attacks against journalists in the Philippines, denouncing efforts to harass and intimidate reporters in the country.",
1118,De Lima: Guevarra needs more spine,
1119,"MANILA, Philippines – The Commission on Appointments (CA) on Wednesday, January 26, confirmed the ad interim appointment of General Andres Centino as chief of the Armed Forces of the Philippines (AFP).",
1120,"MANILA, Philippines – On June 30, Thursday, the Philippines will witness the swearing into office of a second Marcos president: Ferdinand Marcos Jr.",
1121,"MANILA, Philippines – Nobel Peace Prize laureate and Rappler CEO Maria Ressa said her legal victory and that of Rappler at the Court of Tax Appeals (CTA) marked triple victories.",
1122,"In last phone call, Grace Poe and mom Susan Roces savor passage of foundling law",
1123,"MANILA, Philippines – As the 2022 United Nations (UN) Climate Change Conference enters crunch time, representatives of Philippine civil society and social movements at COP27 expressed their disappointment over the “status and conduct” of the government’s delegation in Sharm El Sheikh, Egypt.",
1124,"MANILA, Philippines – As the Philippines entered year 3 of battling the coronavirus pandemic, the government on Monday, February 7, started vaccinating children aged 5 to 11 against the deadly virus.",
1125,"From P1B in 2020, Marcos jewelry now valued at only P340M by PCGG",
1126,Duterte claims his intelligence funds all used up during pandemic,
1127,"TOKYO, Japan – Speaker Martin Romualdez said that the Philippines and Japan are moving in the “general direction” of entering into a military deal that would allow their troops to conduct joint drills and access military bases in the Philippines.",
1128,"MANILA, Philippines – The Department of Justice (DOJ) said it has yet to receive an endorsement from the Department of Foreign Affairs (DFA) on the possible extradition of preacher Apollo Quiboloy, who was charged with sex trafficking in the United States in November 2021.",
1129,"MANILA, Philippines – The Bataan Nuclear Power Plant (BNPP) is safe for use, the chief of the Philippine Nuclear Research Institute (PNRI) said on Monday, Oct. 17, amid talks to revive the mothballed facility as a new source of power.",
1130,"MANILA, Philippines – A controversial measure lowering the age access for vape from 21 to 18 has lapsed into law, as advocates push for vape use as an alternative for cigarettes, Malacañang said on Tuesday, July 26.",
1131,"MANILA, Philippines – The Armed Forces of the Philippines (AFP) and American troops opened the 2023 Balikatan exercise on Tuesday, April 11 – the largest in the 38-year history of the joint military training.",
1132,"For the first time in a long time, the country’s president and vice president are both concurrent heads of government agencies – President Ferdinand Marcos Jr. is his own agriculture chief, while Vice President Sara Duterte leads the education department.",
1133,‘Independent’ 5-man committee gets first pass at PNP courtesy resignations,
1134,Paeng aftermath: House leader wants PH to seek accountability from big polluters,
1135,"MANILA, Philippines – Czech Prime Minister Petr Fiala kicked off a 10-day sojourn around Asia on Monday, April 17, with a visit to Malacañang Palace as President Ferdinand Marcos Jr.’s first visitor from Europe.",
1136,"Marcos media blitz: SALN flip-flop, liberal views, economic plans",
1137,DOJ to file hazing charges vs 7 suspects over John Matthew Salilig’s death,
1138,"For the holidays, DSWD focuses on helping IPs begging in city streets",
